timestamp,run_id,technique,n_reviewers,scope_mode,config_path,run_path,metrics_path,status
,costed_cbr_split_soft_n10_003,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_003,,ok
,costed_cbr_split_soft_n10_004,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_004,,ok
,costed_cbr_split_soft_n10_005,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_005,,ok
,costed_cbr_split_soft_n10_006,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_006,,ok
,costed_cbr_split_soft_n10_007,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_007,,ok
,costed_cbr_split_soft_n10_008,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_008,,ok
,costed_cbr_split_soft_n10_009,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_009,,ok
,costed_cbr_split_soft_n10_010,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_010,,ok
,costed_cbr_split_soft_n10_011,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_011,,ok
,costed_cbr_split_soft_n10_012,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_012,,ok
,costed_cbr_split_soft_n10_013,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_013,,ok
,costed_cbr_split_soft_n10_014,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_014,,ok
,costed_cbr_split_soft_n10_015,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_015,,ok
,costed_cbr_split_soft_n10_016,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_016,,ok
,costed_cbr_split_soft_n10_017,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_017,,ok
,costed_cbr_split_soft_n10_018,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_018,,ok
,costed_cbr_split_soft_n10_019,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_019,,ok
,costed_cbr_split_soft_n10_020,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_020,,ok
