dataset,run_id,technique,usage_file_exists,row_count,reviewer_call_count,reviewer_id_filled_for_reviewer_calls,usage_available_true_count,input_tokens_total,output_tokens_total,total_tokens_total,total_cost_usd,duration_seconds_total,usable_for_cost_analysis,notes
costed_split_soft_n10,costed_ubr_split_soft_n10_015,UBR,true,23,20,true,23,206288,10055,216343,0.0369762,120.107885,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_016,UBR,true,23,20,true,23,206688,10168,216856,0.037104,139.561259,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_017,UBR,true,23,20,true,23,206134,9758,215892,0.0367749,117.314726,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_018,UBR,true,23,20,true,23,206318,10088,216406,0.0370005,137.593617,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_019,UBR,true,24,21,true,24,207554,13936,221490,0.0394947,162.675945,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_ubr_split_soft_n10_020,UBR,true,23,20,true,23,206513,9953,216466,0.03694875,138.794564,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_001,CBR,true,23,20,true,23,198213,9967,208180,0.03571215,151.018426,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_002,CBR,true,23,20,true,23,198126,9969,208095,0.0357003,128.720506,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_003,CBR,true,23,20,true,23,198688,11192,209880,0.0365184,133.833939,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_004,CBR,true,23,20,true,23,198280,10062,208342,0.0357792,172.320387,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_005,CBR,true,24,21,true,24,199533,14216,213749,0.03845955,172.165825,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_006,CBR,true,23,20,true,23,199272,11493,210765,0.0367866,180.149995,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_007,CBR,true,23,20,true,23,198292,11052,209344,0.036375,141.714937,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_008,CBR,true,23,20,true,23,198465,10629,209094,0.03614715,156.542378,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_009,CBR,true,23,20,true,23,198899,11791,210690,0.03690945,164.645974,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_010,CBR,true,23,20,true,23,198075,9646,207721,0.03549885,150.578488,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_011,CBR,true,23,20,true,23,199063,10551,209614,0.03619005,136.955685,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_012,CBR,true,23,20,true,23,198885,10069,208954,0.03587415,158.737183,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_013,CBR,true,23,20,true,23,197637,9551,207188,0.03537615,162.730583,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_014,CBR,true,23,20,true,23,198312,9952,208264,0.035718,144.755688,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_015,CBR,true,23,20,true,23,198455,10580,209035,0.03611625,147.242447,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_016,CBR,true,23,20,true,23,199003,10778,209781,0.03631725,142.996252,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_017,CBR,true,23,20,true,23,199466,10870,210336,0.0364419,141.5122,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_018,CBR,true,23,20,true,23,198383,10019,208402,0.03576885,137.288326,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_019,CBR,true,23,20,true,23,198204,12713,210917,0.0373584,179.378992,true,reviewer_id bei Reviewer-Calls gefüllt
costed_split_soft_n10,costed_cbr_split_soft_n10_020,CBR,true,23,20,true,23,198117,9843,207960,0.03562335,127.740066,true,reviewer_id bei Reviewer-Calls gefüllt
